County-equivalent,State,Per capita income 2008,2012,2016
Chicot,Arkansas,16538,"25,837","29,459"
Childress,Texas,20248,"30,313","32,041"
Chilton,Alabama,20701,"30,008","32,858"
Chippewa,Minnesota,25993,"44,776","46,626"
Chippewa,Wisconsin,24628,"41,051","41,434"
Chippewa,Michigan,20589,"40,757","43,934"
Chisago,Minnesota,27914,"52,902","56,501"
Chittenden,Vermont,33281,"29,935","31,926"
Choctaw,Alabama,20323,"27,321","30,430"
Choctaw,Oklahoma,17739,"30,709","30,767"
Choctaw,Mississippi,17145,"30,484","31,202"
Chouteau,Montana,21737,"34,055","35,841"
Chowan,North Carolina,19240,"37,233","37,872"
Christian,Missouri,25134,"35,657","36,146"
Christian,Illinois,23915,"34,151","36,284"
Christian,Kentucky,19773,"35,793","37,770"
Churchill,Nevada,24716,"25,122","26,919"
Cibola,New Mexico,16129,"59,043","60,101"
Cimarron,Oklahoma,23514,"34,424","36,200"
Citrus,Florida,23148,"47,550","51,379"
Clackamas,Oregon,32781,"35,377","34,646"
Claiborne,Tennessee,18583,"28,427","30,058"
Claiborne,Louisiana,17512,"29,954","32,048"
Claiborne,Mississippi,12177,"39,459","40,985"
Clallam,Washington,25865,"29,444","32,204"
Clare,Michigan,18148,"26,611","28,063"
Clarendon,South Carolina,17665,"36,088","37,592"
Clarion,Pennsylvania,21902,"30,414","32,165"
Clark,South Dakota,27878,"26,889","26,099"
Clark,Washington,27681,"37,539","38,053"
Clark,Nevada,26217,"39,461","41,026"
Clark,Kansas,25385,"53,603","53,215"
Clark,Kentucky,24524,"35,658","37,240"
Clark,Indiana,24312,"33,393","33,929"
Clark,Illinois,24296,"39,860","42,284"
Clark,Ohio,22780,"35,826","37,866"
Clark,Wisconsin,20754,"51,267","43,386"
Clark,Missouri,20279,"43,800","47,078"
Clark,Idaho,20032,"36,949","36,683"
Clark,Arkansas,17960,"31,099","33,096"
Clarke,Virginia,38748,"28,919","31,065"
Clarke,Iowa,23472,"35,298","36,869"
Clarke,Georgia,19295,"35,966","36,107"
Clarke,Alabama,18979,"54,826","59,162"
Clarke,Mississippi,18066,"38,565","41,410"
Clatsop,Oregon,25680,"31,709","33,452"
Clay,Missouri,29406,"33,599","34,214"
Clay,Iowa,29060,"37,783","40,079"
Clay,Florida,26577,"27,586","32,140"
Clay,Texas,25867,"34,948","35,471"
Clay,Minnesota,24550,"33,485","35,532"
Clay,Kansas,24503,"46,255","45,719"
Clay,Nebraska,23876,"47,245","48,449"
Clay,Illinois,22279,"25,311","26,832"
